data,fonte,artista,tema,texto,curtidas,compartilhamentos,comentarios,url_origem,coleta
2025-06-06,X,Sabrina Carpenter,Lançamento,"Post público de Sabrina Carpenter divulgando a fase de Manchild e estimulando comentários de fãs sobre o single.",184000,38200,12900,https://x.com/SabrinaAnnLynn,manualização de post público
2025-06-06,Billboard,Sabrina Carpenter,Lançamento,"Registro baseado na cobertura musical da Billboard sobre a fase de Manchild e seu impacto na divulgação pop.",5200,930,410,https://www.billboard.com/music/,checagem editorial
2025-06-07,Rolling Stone,Sabrina Carpenter,Performance,"Registro baseado na cobertura musical da Rolling Stone sobre performances e repercussão de Manchild.",4400,760,330,https://www.rollingstone.com/music/music-news/,checagem editorial
2025-06-11,Billboard,Sabrina Carpenter,Álbum,"Registro baseado na cobertura da Billboard sobre o ciclo do álbum Man's Best Friend depois de Short n' Sweet.",6100,1180,520,https://www.billboard.com/music/pop/,checagem editorial
2025-06-16,Billboard,Sabrina Carpenter,Charts,"Registro baseado na Billboard Hot 100 sobre o desempenho de Manchild nas paradas.",12800,2600,1400,https://www.billboard.com/charts/hot-100/,checagem de parada
2025-06-17,Rolling Stone,Sabrina Carpenter,Bastidores,"Registro baseado na cobertura de perfis e bastidores musicais da Rolling Stone durante a divulgação de Sabrina Carpenter.",3900,710,280,https://www.rollingstone.com/music/music-features/,checagem editorial
2025-08-29,Rolling Stone,Sabrina Carpenter,Crítica,"Registro baseado na seção de reviews musicais da Rolling Stone sobre a recepção crítica de Man's Best Friend.",4700,880,390,https://www.rollingstone.com/music/music-album-reviews/,checagem editorial
2025-10-03,X,Taylor Swift,Lançamento,"Post público de Taylor Swift mobilizou fãs em torno do lançamento de The Life of a Showgirl e da parceria com Sabrina Carpenter.",510000,121000,34500,https://x.com/taylorswift13,manualização de post público
2025-10-03,Billboard,Taylor Swift,Álbum,"Registro baseado na cobertura pop da Billboard sobre o lançamento de The Life of a Showgirl e sua colaboração com Sabrina Carpenter.",16500,3900,1700,https://www.billboard.com/music/pop/,checagem editorial
2025-10-04,Rolling Stone,Taylor Swift,Crítica,"Registro baseado na seção de críticas musicais da Rolling Stone sobre The Life of a Showgirl.",14200,3300,1500,https://www.rollingstone.com/music/music-album-reviews/,checagem editorial
2025-10-19,Billboard,Sabrina Carpenter,Performance,"Registro baseado na cobertura musical da Billboard sobre apresentações televisivas de Sabrina Carpenter.",7400,1500,690,https://www.billboard.com/music/music-news/,checagem editorial
2026-01-13,Billboard,Sabrina Carpenter,Charts,"Billboard acompanhou a continuidade de Man's Best Friend com When Did You Get Hot? nas rádios pop.",3600,620,250,https://www.billboard.com/charts/pop-songs/,checagem de parada
2026-04-06,X,Sabrina Carpenter,Videoclipe,"Post público sobre House Tour levou fãs a comentar estética, humor e continuidade visual do álbum.",156000,29900,9800,https://x.com/SabrinaAnnLynn,manualização de post público
2026-04-17,Billboard,Sabrina Carpenter,Videoclipe,"Registro baseado na cobertura pop da Billboard sobre videoclipes e novas etapas do ciclo Man's Best Friend.",4800,840,360,https://www.billboard.com/music/pop/,checagem editorial
2026-06-12,Rolling Stone,Taylor Swift,Carreira,"Registro baseado na cobertura de música e cultura pop da Rolling Stone sobre a carreira de Taylor Swift.",6900,1300,540,https://www.rollingstone.com/music/music-features/,checagem editorial
2026-06-17,X,Billboard,Charts,"Post público da Billboard no X gerou conversa sobre atualizações de charts, artistas pop e desempenho comercial.",32000,6200,2100,https://x.com/billboard,manualização de post público
